"","EV","ERV","FWER","FDR","Power"
"split_gam30_B=10select=0.5nActive=50",8.807,6.776,0,0.565075970903947,0
"carve_gam5_B=10select=0.5nActive=10",11.044,4.552,0.04,0.708162961829302,0.153
"split_gam5_B=10select=0.5nActive=10",11.044,4.552,0.07,0.708162961829302,0.032
"carve_gam30_B=10select=0.5nActive=10",11.044,4.552,0,0.708162961829302,0.068
"split_gam30_B=10select=0.5nActive=10",11.044,4.552,0,0.708162961829302,0
"carve_gam5_B=10select=0.75nActive=5",11.884,3.506,0.06,0.772183458859429,0.2
"split_gam5_B=10select=0.75nActive=5",11.884,3.506,0.1,0.772183458859429,0.064
"carve_gam30_B=10select=0.75nActive=5",11.884,3.506,0,0.772183458859429,0.128
"split_gam30_B=10select=0.75nActive=5",11.884,3.506,0,0.772183458859429,0
"carve_gam5_B=10select=0.75nActive=2",13.47,1.999,0.02,0.870732372141698,0.96
"split_gam5_B=10select=0.75nActive=2",13.47,1.999,0,0.870732372141698,0
"carve_gam30_B=10select=0.75nActive=2",13.47,1.999,0.01,0.870732372141698,0.96
"split_gam30_B=10select=0.75nActive=2",13.47,1.999,0,0.870732372141698,0
"carve_gam5_B=10select=0.75nActive=50",7.444,7.95,0.08,0.483523181352668,0.0018
"split_gam5_B=10select=0.75nActive=50",7.444,7.95,0,0.483523181352668,0
"carve_gam30_B=10select=0.75nActive=50",7.444,7.95,0,0.483523181352668,2e-04
"split_gam30_B=10select=0.75nActive=50",7.444,7.95,0,0.483523181352668,0
"carve_gam5_B=10select=0.75nActive=10",9.128,6.375,0.02,0.588825692654027,0.105
"split_gam5_B=10select=0.75nActive=10",9.128,6.375,0.01,0.588825692654027,0.007
"carve_gam30_B=10select=0.75nActive=10",9.128,6.375,0,0.588825692654027,0.056
"split_gam30_B=10select=0.75nActive=10",9.128,6.375,0,0.588825692654027,0
"carve_gam5_B=10select=0.9nActive=5",11.31,4.048,0.06,0.736359218358741,0.148
"split_gam5_B=10select=0.9nActive=5",11.31,4.048,0,0.736359218358741,0
"carve_gam30_B=10select=0.9nActive=5",11.31,4.048,0,0.736359218358741,0.07
"split_gam30_B=10select=0.9nActive=5",11.31,4.048,0,0.736359218358741,0
"carve_gam5_B=10select=0.9nActive=2",13.401,2,0.02,0.87009262452428,0.915
