"","EV","ERV","FWER","FDR","Power"
"carve_gam30_B=5select=0.99n=50p=200",4.33,3.304,0,0.566936080495872,0.07
"split_gam30_B=5select=0.99n=50p=200",4.33,3.304,0,0.566936080495872,0
"carve_gam5_B=5select=0.99n=100p=133",10.54,5,0.02,0.678066658203992,0.306
"split_gam5_B=5select=0.99n=100p=133",10.54,5,0,0.678066658203992,0
"carve_gam30_B=5select=0.99n=100p=133",10.54,5,0.01,0.678066658203992,0.232
"split_gam30_B=5select=0.99n=100p=133",10.54,5,0,0.678066658203992,0
"carve_gam5_B=5select=0.99n=200p=200",10.232,5,0,0.671410317826824,0.938
"split_gam5_B=5select=0.99n=200p=200",10.232,5,0,0.671410317826824,0
"carve_gam30_B=5select=0.99n=200p=200",10.232,5,0,0.671410317826824,0.884
"split_gam30_B=5select=0.99n=200p=200",10.232,5,0,0.671410317826824,0
"carve_gam5_B=5select=0.99n=600p=200",26.778,5,0.02,0.842581743792279,0.588
"split_gam5_B=5select=0.99n=600p=200",26.778,5,0,0.842581743792279,0
"carve_gam30_B=5select=0.99n=600p=200",26.778,5,0.01,0.842581743792279,0.406
"split_gam30_B=5select=0.99n=600p=200",26.778,5,0,0.842581743792279,0
"carve_gam5_B=5select=0.99n=50p=1000",5.426,2.126,0,0.718240280076193,0.004
"split_gam5_B=5select=0.99n=50p=1000",5.426,2.126,0,0.718240280076193,0
"carve_gam30_B=5select=0.99n=50p=1000",5.426,2.126,0,0.718240280076193,0
"split_gam30_B=5select=0.99n=50p=1000",5.426,2.126,0,0.718240280076193,0
"carve_gam5_B=10select=0.5n=100p=200",13.059,2.52,0.15,0.838216550788597,0.222
"split_gam5_B=10select=0.5n=100p=200",13.059,2.52,0.04,0.838216550788597,0.026
"carve_gam30_B=10select=0.5n=100p=200",13.059,2.52,0.01,0.838216550788597,0.102
"split_gam30_B=10select=0.5n=100p=200",13.059,2.52,0,0.838216550788597,0
"carve_gam5_B=10select=0.5n=50p=200",5.865,1.95,0.02,0.750462069573745,0.116
"split_gam5_B=10select=0.5n=50p=200",5.865,1.95,0,0.750462069573745,0
"carve_gam30_B=10select=0.5n=50p=200",5.865,1.95,0,0.750462069573745,0.044
"split_gam30_B=10select=0.5n=50p=200",5.865,1.95,0,0.750462069573745,0
"carve_gam5_B=10select=0.5n=100p=133",11.264,4.44,0.02,0.717257299514273,0.61
"split_gam5_B=10select=0.5n=100p=133",11.264,4.44,0,0.717257299514273,0
"carve_gam30_B=10select=0.5n=100p=133",11.264,4.44,0,0.717257299514273,0.472
"split_gam30_B=10select=0.5n=100p=133",11.264,4.44,0,0.717257299514273,0
"carve_gam5_B=10select=0.5n=200p=200",10.622,4.915,0,0.683609678523919,1
"split_gam5_B=10select=0.5n=200p=200",10.622,4.915,0.05,0.683609678523919,0.25
"carve_gam30_B=10select=0.5n=200p=200",10.622,4.915,0,0.683609678523919,0.984
"split_gam30_B=10select=0.5n=200p=200",10.622,4.915,0,0.683609678523919,0.224
"carve_gam5_B=10select=0.5n=600p=200",27.343,4.996,0.26,0.845496832669745,0.996
"split_gam5_B=10select=0.5n=600p=200",27.343,4.996,0,0.845496832669745,0
"carve_gam30_B=10select=0.5n=600p=200",27.343,4.996,0.01,0.845496832669745,0.982
"split_gam30_B=10select=0.5n=600p=200",27.343,4.996,0,0.845496832669745,0
"carve_gam5_B=10select=0.5n=50p=1000",6.945,0.753,0.03,0.902126514033778,0.024
"split_gam5_B=10select=0.5n=50p=1000",6.945,0.753,0,0.902126514033778,0
"carve_gam30_B=10select=0.5n=50p=1000",6.945,0.753,0,0.902126514033778,0.008
"split_gam30_B=10select=0.5n=50p=1000",6.945,0.753,0,0.902126514033778,0
"carve_gam5_B=10select=0.75n=100p=200",11.884,3.506,0.06,0.772183458859429,0.2
"split_gam5_B=10select=0.75n=100p=200",11.884,3.506,0.1,0.772183458859429,0.064
"carve_gam30_B=10select=0.75n=100p=200",11.884,3.506,0,0.772183458859429,0.128
"split_gam30_B=10select=0.75n=100p=200",11.884,3.506,0,0.772183458859429,0
"carve_gam5_B=10select=0.75n=50p=200",4.888,2.847,0,0.631847891773601,0.056
"split_gam5_B=10select=0.75n=50p=200",4.888,2.847,0,0.631847891773601,0
"carve_gam30_B=10select=0.75n=50p=200",4.888,2.847,0,0.631847891773601,0.03
"split_gam30_B=10select=0.75n=50p=200",4.888,2.847,0,0.631847891773601,0
